Year,Springs
1955,127.8
1956,69.8
1957,219.2
1958,398.2
1959,384.5
1960,428.3
1961,455.3
1962,321.1
1963,239.6
1964,213.8
1965,322.8
1966,315.3
1967,216.1
1968,408.3
1969,351.2
1970,397.7
1971,272.7
1972,375.8
1973,527.6
1974,483.3
1975,540.4
1976,503.9
1977,580.3
1978,375.5
1979,523
1980,328.3
1981,407.3
1982,333.3
1983,301.5
1984,178.3
1985,334
1986,388
1987,557.9
1988,369.7
1989,224.1
1990,240.6
1991,354.6
1992,802.8
1993,589.4
1994,390.2
1995,361.3
1996,212
1997,383.9
1998,464.1
1999,456.1
2000,337.5
2001,529.4
2002,609.9
2003,621.5
2004,622.9
2005,647.1
2006,312
2007,620.6
2008,417.1
2009,288
2010,490
2011,265.2
2012,302.3
2013,232.8
2014,195.4